数据源,标题,情感,label
APP,为了心爱的“座驾”，多次作案——兰山警方打掉一盗窃团伙,1,2
网站,小区围墙雨天垮塌居民财产受损 责任谁来担,2,2
APP,山西太原：大方刷卡买烟 竟是砸车窗盗窃所得,2,2
电子报纸,还小区居民平安,0,0
APP,晋城某小区，鬼鬼祟祟的俩人被抓现行！,2,2
APP,金寨一小区不文明现象被曝光，实在不应该！,2,2
APP,玉林这小区发“禁停”通知，业主拍手叫好！这事不少小区都有,1,0
APP,不偷钱财只偷花，照样批捕！【辰玮|分享】,2,2
APP,大快人心！警方连抓64个电瓶仔，鱼峰、柳江、鹿寨一个不放过,1,0
APP,火速侦破系列盗窃案！为鼎湖警方点赞！,1,1
网站,「法治热点早知道」北京海淀警方90小时破获涉千万特大盗窃案![相关视频：特大盗窃罪判多少年]_懂视_让你更懂生活,1,1
APP,刚出狱又犯事! 男子大半夜的在小区干这种勾当...,2,0
网站,探訪網絡安全宣傳周上的“黑科技”,1,0
电子报纸,平罗警方侦破砸车盗窃案50余起,1,2
电子报纸,八旬老人做表率   小区换上新大门,1,0
APP,"学习“枫桥经验”, 扬州市安置小区用上“刷脸”系统!",0,0
网站,贵州危房要“体检” 重点排查这几种,1,0
电子报纸,热心党员带头出资修整小区,1,0
APP,重庆宝妈注意！有人专偷婴儿车内财物 外出要注意防盗,1,1
电子报纸,小区智慧化成购房新亮点,1,1
APP,辣眼睛！姜堰一大叔竟然男扮女装干这事,0,0
APP,《么得命额》辣眼睛！泰州一大叔竟然男扮女装干这事,0,0
微信,在石河子11小区、12小区偷盗的嫌疑人落网！,1,1
APP,凌晨，禹州一女子正在路边等车，突然……,0,0
网站,中国队,0,0
APP,山西太原: 大方刷卡买烟 竟是砸车窗盗窃所得,2,2
APP,黑灯瞎火，富川竟有人半夜在廉租房小区干这种事……,0,0
APP,的哥忙着聊天忘锁车 被人拉车门偷手机！,2,2
微信,【践行新使命 忠诚保大庆】组团盗窃电动车 两个小蟊贼当场被擒,1,2
APP,居民自治，太原一无物业小区焕发生机,1,1
